site,ind_no,blade_no,mean_gray_value,dist_sound,dist_sound_km
Nanat Sheltered,1,1,176,14590,14.59
Nanat Sheltered,1,2,196,14590,14.59
Nanat Sheltered,1,3,176,14590,14.59
Nanat Sheltered,1,4,178,14590,14.59
Nanat Sheltered,1,5,185,14590,14.59
Nanat Sheltered,2,1,154,14590,14.59
Nanat Sheltered,2,2,157,14590,14.59
Nanat Sheltered,2,3,156,14590,14.59
Nanat Sheltered,2,4,144,14590,14.59
Nanat Sheltered,2,5,145,14590,14.59
Nanat Sheltered,3,1,169,14590,14.59
Nanat Sheltered,3,2,135,14590,14.59
Nanat Sheltered,3,3,162,14590,14.59
Nanat Sheltered,3,4,174,14590,14.59
Nanat Sheltered,3,5,180,14590,14.59
Nanat Sheltered,4,1,158,14590,14.59
Nanat Sheltered,4,2,165,14590,14.59
Nanat Sheltered,4,3,159,14590,14.59
Nanat Sheltered,4,4,169,14590,14.59
Nanat Sheltered,4,5,123,14590,14.59
Ohiat,1,1,140,7450,7.45
Ohiat,1,2,136,7450,7.45
Ohiat,1,3,145,7450,7.45
Ohiat,1,4,128,7450,7.45
Ohiat,1,5,124,7450,7.45
Ohiat,2,1,133,7450,7.45
Ohiat,2,2,145,7450,7.45
Ohiat,2,3,142,7450,7.45
Ohiat,2,4,136,7450,7.45
Ohiat,2,5,146,7450,7.45
Ohiat,3,1,141,7450,7.45
Ohiat,3,2,143,7450,7.45
Ohiat,3,3,134,7450,7.45
Ohiat,3,4,134,7450,7.45
Ohiat,3,5,156,7450,7.45
Ohiat,4,1,116,7450,7.45
Ohiat,4,2,132,7450,7.45
Ohiat,4,3,116,7450,7.45
Ohiat,4,4,136,7450,7.45
Ohiat,4,5,127,7450,7.45
Ohiat,5,1,165,7450,7.45
Ohiat,5,2,153,7450,7.45
Ohiat,5,3,151,7450,7.45
Ohiat,5,4,142,7450,7.45
Ohiat,5,5,155,7450,7.45
Ross,1,1,73,10650,10.65
Ross,1,2,132,10650,10.65
Ross,1,3,139,10650,10.65
Ross,1,4,156,10650,10.65
Ross,1,5,138,10650,10.65
Ross,2,1,137,10650,10.65
Ross,2,2,149,10650,10.65
Ross,2,3,147,10650,10.65
Ross,2,4,122,10650,10.65
Ross,2,5,139,10650,10.65
Ross,3,1,136,10650,10.65
Ross,3,2,127,10650,10.65
Ross,3,3,131,10650,10.65
Ross,3,4,149,10650,10.65
Ross,3,5,126,10650,10.65
Ross,4,1,143,10650,10.65
Ross,4,2,155,10650,10.65
Ross,4,3,140,10650,10.65
Ross,4,4,149,10650,10.65
Ross,4,5,137,10650,10.65
Ross,5,1,155,10650,10.65
Ross,5,2,151,10650,10.65
Ross,5,3,151,10650,10.65
Ross,5,4,140,10650,10.65
Ross,5,5,149,10650,10.65
Second Beach,1,1,147,4560,4.56
Second Beach,1,2,130,4560,4.56
Second Beach,1,3,121,4560,4.56
Second Beach,1,4,114,4560,4.56
Second Beach,1,5,126,4560,4.56
Second Beach,2,1,115,4560,4.56
Second Beach,2,2,111,4560,4.56
Second Beach,2,3,106,4560,4.56
Second Beach,2,4,108,4560,4.56
Second Beach,2,5,118,4560,4.56
Second Beach,3,1,149,4560,4.56
Second Beach,3,2,109,4560,4.56
Second Beach,3,3,132,4560,4.56
Second Beach,3,4,146,4560,4.56
Second Beach,3,5,117,4560,4.56
Second Beach,4,1,144,4560,4.56
Second Beach,4,2,140,4560,4.56
Second Beach,4,3,121,4560,4.56
Second Beach,4,4,131,4560,4.56
Second Beach,4,5,133,4560,4.56
Second Beach,5,1,150,4560,4.56
Second Beach,5,2,123,4560,4.56
Second Beach,5,3,114,4560,4.56
Second Beach,5,4,126,4560,4.56
Second Beach,5,5,134,4560,4.56
Scotts Bay,1,1,138,7410,7.41
Scotts Bay,1,2,143,7410,7.41
Scotts Bay,1,3,137,7410,7.41
Scotts Bay,1,4,143,7410,7.41
Scotts Bay,1,5,127,7410,7.41
Scotts Bay,2,1,132,7410,7.41
Scotts Bay,2,2,133,7410,7.41
Scotts Bay,2,3,115,7410,7.41
Scotts Bay,2,4,116,7410,7.41
Scotts Bay,2,5,125,7410,7.41
Scotts Bay,3,1,121,7410,7.41
Scotts Bay,3,2,121,7410,7.41
Scotts Bay,3,3,111,7410,7.41
Scotts Bay,3,4,105,7410,7.41
Scotts Bay,3,5,110,7410,7.41
Scotts Bay,4,1,126,7410,7.41
Scotts Bay,4,2,124,7410,7.41
Scotts Bay,4,3,125,7410,7.41
Scotts Bay,4,4,113,7410,7.41
Scotts Bay,4,5,124,7410,7.41
Scotts Bay,5,1,129,7410,7.41
Scotts Bay,5,2,123,7410,7.41
Scotts Bay,5,3,107,7410,7.41
Scotts Bay,5,4,135,7410,7.41
Scotts Bay,5,5,112,7410,7.41
