"","site","lat","lon","dist_in_sound","water","barn_ht","mean_mean_daily_temp_c","mean_max_daily_temp_c","mean_min_daily_temp_c","max_max_daily_temp_c"
"1","Blowhole",48.824293,-125.159378,5960,"water",3.6,14.4063811792158,15.8181818181818,12.5681818181818,19
"2","Bordelais",48.817634,-125.229917,2490,"water",4.34,13.0661136743374,14.2272727272727,12,17
"3","Dixon",48.851866,-125.123474,9937,"water",3.66,15.5551204787801,16.9204545454545,13.7159090909091,19.5
"4","EdKing",48.828558,-125.204139,4615,"water",4.11,13.5429763018121,14.7159090909091,12.3295454545455,17.5
"5","Execution",48.812146,-125.180139,3870,"water",3.37,13.3347109240245,14.375,12.3068181818182,17.5
"6","Fleming112",48.878488,-125.144102,11507,"water",3.21,15.5005797955524,16.8181818181818,13.8977272727273,20
"7","Fleming114",48.891793,-125.115041,13851,"water",3.05,15.8882207899834,17.0681818181818,14.5795454545455,19.5
"8","FlemingIslandTurf",48.884945,-125.14714,12056,"water",3.17,15.2872410208939,16.2613636363636,13.8181818181818,19
"9","FlemingTurfCity",48.885,-125.15096,11948,"water",3.08,15.0435777571086,16.0909090909091,13.5909090909091,19
"10","Folger",48.830687,-125.248756,3007,"water",5.07,13.2066069961405,14.5,12.0681818181818,17
"11","Grappler",48.838181,-125.134626,8277,"water",2.9,15.0682959271863,16.375,13.7954545454545,19.5
"12","Nanat",48.884976,-125.073444,15150,"water",3.37,16.2002342612355,17.0454545454545,15.0568181818182,19.5
"13","RoquefoilBay",48.863461,-125.10715,11870,"water",3.38,15.7209534144906,16.9431818181818,14.125,19.5
"14","Ross3Trees",48.874973,-125.164916,10555,"water",3.83,14.3497159388677,15.5,12.7159090909091,18
"15","RossMiddle",48.872095,-125.161593,10322,"water",3.05,15.4272007831975,16.6136363636364,13.8181818181818,19
"16","RossSouthIsland",48.868131,-125.160674,9943,"water",3.15,15.2315629836827,16.4204545454545,13.8181818181818,19
"17","Sanford",48.86601,-125.173179,9385,"water",5.99,13.9980207827713,15.4488636363636,12.3636363636364,18
"18","Scotts",48.834378,-125.146661,7530,"water",3.13,14.5430555893351,16.2045454545455,12.6818181818182,19.5
"19","SeagullIsland",48.87099,-125.171427,9950,"water",4.12,14.3675311907422,15.4886363636364,12.9659090909091,18
"20","Taylor",48.82743,-125.198038,4742,"water",3.77,14.0551406266436,15.0568181818182,13,18
"21","Tzartus",48.90082,-125.08131,16095,"water",3.09,16.1414315519596,17.0795454545455,15.1136363636364,19.5
"22","Wizard",48.858061,-125.160574,8730,"water",3.85,14.7417602915738,16.1022727272727,13.4659090909091,18.5
